StudentID,Student_Last_Name,Student_First_Name,Suffix,Gender,Course,Department,Section,Student Email,StudentContactNo,Attends regularly.,Starts the work promptly.,Wear clothes suitable to his / her work.,Courteous and considerate.,Express his / her ideas well.,Listens attentively to trainer.,Displays interest in the field of ICT.,Careful in handling tools and equipment,Works to develop a variety of skills.,"Generally, a potential leader.",Accepts responsibility.,Volunteers for an assignment.,Makes worthwhile suggestions.,Exhibits orderly / safe work station.,Applies principle to actual work station.,Prepares report accurately.,Submits report punctually.,Works well under pressure.,"Knows the functions, requirements & responsibilities",Is generally open for growth & development.,Total Points Earned,Equivalent Rating,Remark
S011,Rivera,Joshua,,Male,BS Information Technology,College of Computer Studies,BSIT - 4B,joshua_rivera@vaia.edu.ph,9159954752,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,100,Outstanding,Passed
S012,Diaz,Samantha,,Female,BS Information Technology,College of Computer Studies,BSIT - 4B,samantha_diaz@vaia.edu.ph,9919058728,5,4,5,5,5,5,5,5,5,4,4,4,5,5,4,5,5,4,5,5,94,Very Satisfactory,Passed
S013,Lopez,Ethan,,Male,BS Information Technology,College of Computer Studies,BSIT - 4B,ethan_lopez@vaia.edu.ph,9951833783,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,98,Outstanding,Passed
S014,Gonzales,Chloe,II,Female,BS Information Technology,College of Computer Studies,BSIT - 4B,chloe_gonzales@vaia.edu.ph,9795026939,5,5,5,4,5,5,5,5,4,5,4,5,4,5,4,5,5,4,5,5,94,Very Satisfactory,Passed
S015,Perez,Jayden,,Male,BS Information Technology,College of Computer Studies,BSIT - 4B,jayden_perez@vaia.edu.ph,9259837072,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,4,5,5,5,5,97,Very Satisfactory,Passed
S016,Aquino,Nico,,Male,BS Information Technology,College of Computer Studies,BSIT - 4B,nico_aquino@vaia.edu.ph,9304917174,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,100,Outstanding,Passed
S017,Baluyot,Patricia,,Female,BS Information Technology,College of Computer Studies,BSIT - 4B,patricia_baluyot@vaia.edu.ph,9804829631,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,100,Outstanding,Passed
S018,Corpuz,Rafael,Jr.,Male,BS Information Technology,College of Computer Studies,BSIT - 4B,rafael_corpuz@vaia.edu.ph,9692484795,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,100,Outstanding,Passed
S019,Estrella,Jasmine,,Female,BS Information Technology,College of Computer Studies,BSIT - 4B,jasmine_estrella@vaia.edu.ph,9493922645,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,100,Outstanding,Passed
S020,Ferrer,Miguel,,Male,BS Information Technology,College of Computer Studies,BSIT - 4B,miguel_ferrer@vaia.edu.ph,9109017688,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,100,Outstanding,Passed
S021,Gomez,Avery,,Female,BS Information Technology,College of Computer Studies,BSIT - 4B,avery_gomez@vaia.edu.ph,9363071378,5,3,3,3,3,4,3,4,3,4,4,3,3,3,3,4,3,3,4,4,69,Unsatisfactory,Failed
S022,Hernandez,Caleb,,Male,BS Information Technology,College of Computer Studies,BSIT - 4B,caleb_hernandez@vaia.edu.ph,9279144865,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,99,Outstanding,Passed
S023,Javier,Scarlett,III,Female,BS Information Technology,College of Computer Studies,BSIT - 4B,scarlett_javier@vaia.edu.ph,9252086979,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,100,Outstanding,Passed
S024,King,Nathan,,Male,BS Information Technology,College of Computer Studies,BSIT - 4B,nathan_king@vaia.edu.ph,9315694762,5,4,4,5,5,5,4,5,4,5,5,5,5,4,4,4,5,5,5,5,93,Satisfactory,Passed
S025,Lim,Zoe,,Female,BS Information Technology,College of Computer Studies,BSIT - 4B,zoe_lim@vaia.edu.ph,9214774301,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,100,Outstanding,Passed
S026,Manalo,Lukas,,Male,BS Information Technology,College of Computer Studies,BSIT - 4B,lukas_manalo@vaia.edu.ph,9159937107,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,98,Outstanding,Passed
S027,Navarro,Elena,,Female,BS Information Technology,College of Computer Studies,BSIT - 4B,elena_navarro@vaia.edu.ph,9240366606,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,99,Outstanding,Passed
S028,Ortega,Adam,Jr.,Male,BS Information Technology,College of Computer Studies,BSIT - 4B,adam_ortega@vaia.edu.ph,9848573531,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,99,Outstanding,Passed
S029,Panganiban,Stella,,Female,BS Information Technology,College of Computer Studies,BSIT - 4B,stella_panganiban@vaia.edu.ph,9477026779,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,100,Outstanding,Passed
S030,Quizon,Adrian,,Male,BS Information Technology,College of Computer Studies,BSIT - 4B,adrian_quizon@vaia.edu.ph,9304917174,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,100,Outstanding,Passed
S031,Soriano,Valerie,II,Female,BS Information Technology,College of Computer Studies,BSIT - 4B,valerie_soriano@vaia.edu.ph,9692484795,5,4,4,5,5,5,4,5,4,5,5,5,5,4,4,4,5,5,5,5,93,Satisfactory,Passed
S032,Tiongson,Leo,,Male,BS Information Technology,College of Computer Studies,BSIT - 4B,leo_tiongson@vaia.edu.ph,9493922645,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,99,Outstanding,Passed
